,Number of axles,Tollplaza id,Tollplaza code
0,2,4856,PC7C042B7
1,2,4154,PC2C2EF9E
2,2,4070,PCEECA8B2
3,2,4095,PC3E1512A
4,2,4135,PCC943ECD
5,2,4680,PCC422F4D
6,2,4702,PCDBC3AC9
7,2,4592,PC627AA14
8,2,4100,PCC6DD8D5
9,2,4143,PC5F47DCF
10,2,4466,PC6E93A05
11,2,4352,PC99B9343
12,2,4574,PCC1F6F13
13,2,4902,PC425C6EC
14,2,4012,PCEF5C190
15,2,4458,PCECEBBFA
16,2,4886,PC4D892D7
17,4,4680,PCC422F4D
18,2,4899,PC4967767
19,2,4855,PC03C5C15
20,2,4737,PCED7EAFE
21,2,4140,PC5D4821F
22,2,4961,PC92C5115
23,2,4148,PCDFBBEBB
24,2,4630,PCA26D872
25,2,5003,PCAC9371E
26,2,4243,PCC4F7DCE
27,2,4023,PC77793DF
28,2,4987,PCF4A9637
29,2,4755,PC628DCED
30,4,4079,PCF1366ED
31,2,4616,PCE6675F9
32,4,4245,PC6594AD4
33,4,4090,PC1EE951B
34,4,4383,PC4BFE950
35,2,4449,PCAACD453
36,2,4351,PC4E572D8
37,2,4159,PC5631507
38,2,4018,PCCB2657A
39,2,4827,PC7D68CD9
40,2,4115,PCF5D4B0A
41,2,4102,PC8C9B099
42,2,4398,PCE60D320
43,2,4918,PC8F8E598
44,2,4984,PCBABF130
45,4,4460,PCDF04952
46,2,4326,PC356AE8F
47,2,4600,PCB99E8F9
48,2,4735,PC2294422
49,2,4162,PC51A39A7
50,2,4012,PCEF5C190
51,2,4223,PCA37D114
52,2,4990,PCFE28E92
53,2,4154,PC2C2EF9E
54,2,4913,PC685427C
55,4,4388,PC803F0F2
56,2,4299,PCAD3B9BC
57,2,4725,PCB905D54
58,2,4229,PCD0DDD3D
59,2,4354,PC0671DD4
60,2,4127,PCA2D76A5
61,4,4522,PC0A326BE
62,4,4410,PC6EFC03B
63,2,4689,PC89C35AD
64,2,4296,PCA24C1E1
65,2,4303,PC2E2E0C0
66,2,4346,PCA35B156
67,2,4253,PC82A16E6
68,2,5007,PC869BDE8
69,2,4534,PCAD9E1F9
70,2,4742,PC05B8749
71,2,4944,PC41EEC34
72,2,4171,PC36C9AE8
73,2,4750,PCD987A9D
74,2,4878,PC08F56A1
75,2,4274,PC88EA64E
76,2,4377,PC4AC8EAD
77,2,4265,PC5B2AFFA
78,2,4304,PC89FB76E
79,2,4797,PCE2D63A7
80,4,4061,PC3A63A79
81,4,4085,PC6150735
82,2,4675,PCE49911B
83,4,4997,PC8111910
84,2,4241,PC7241796
85,2,4890,PCAFC8A56
86,2,4537,PC10C700F
87,2,4743,PCE6EEF2E
88,2,4026,PC2CE9851
89,2,4373,PC8806694
90,4,4116,PCCA836C9
91,4,4785,PC787D664
92,2,5002,PC585BD38
93,2,4728,PC07BF95F
94,4,4015,PC524833E
95,2,4817,PCFF02057
96,4,4857,PC59F4E22
97,2,4724,PC3DE08BF
98,4,4725,PCB905D54
99,2,4591,PCC9875AC
100,4,4792,PC3E35002
101,2,4927,PC2D22627
102,2,4397,PCB070250
103,4,4195,PC308070B
104,4,4336,PCD30AB50
105,4,4520,PC8140983
106,2,4328,PC3777B8E
107,2,4749,PC65C93B7
108,2,4990,PCFE28E92
109,2,4231,PC016D687
110,2,4643,PC6713209
111,2,4121,PCEC57A8E
112,2,4400,PC3BD7D63
113,2,4119,PC9EBEDB5
114,4,4695,PC4A5D62F
115,2,4495,PC210A754
116,4,4434,PCA491459
117,2,4299,PCAD3B9BC
118,2,4023,PC77793DF
119,4,4365,PC0F226DF
120,2,4582,PC98750ED
121,2,4119,PC9EBEDB5
122,2,4416,PC546F252
123,2,4898,PC0AE9E1B
124,4,4698,PC8BCEB19
125,2,4416,PC546F252
126,2,4993,PC0F0AB4E
127,4,4356,PCF1979AE
128,2,4504,PC461DCD3
129,2,4811,PCBF83C7A
130,2,4574,PCC1F6F13
131,2,4116,PCCA836C9
132,2,4049,PC4779D38
133,2,4435,PC3E78C17
134,2,4272,PC09BDC08
135,2,4929,PC9E503B6
136,2,4531,PC857F4A0
137,2,4222,PC15EC378
138,2,4657,PCC591410
139,4,4481,PC30AAE76
140,4,4145,PC5FBE4B8
141,4,4813,PCACF7982
142,2,4585,PCF3AE602
143,2,4924,PCE3427C5
144,4,4584,PC1085B78
145,2,4225,PCC1ED0C5
146,2,4719,PCBD66B01
147,2,4830,PC12EEFE0
148,2,4073,PCA3797CA
149,4,4954,PCA276EBB
150,2,4732,PCD83DE25
151,2,4155,PC9042B3F
152,2,4142,PC7ACFF7C
153,2,4737,PCED7EAFE
154,2,4337,PCCF6A454
155,4,4507,PC11DCA73
156,4,4092,PC40C2E00
157,2,4269,PCC7106FF
158,2,4610,PCA4D3E9B
159,2,4980,PCBD5C822
160,2,4295,PCD483999
161,2,4412,PC821BC98
162,2,4364,PCB33ACE8
163,4,4290,PC84E8CEF
164,2,4264,PC9DFEBB0
165,4,4412,PC821BC98
166,4,4712,PC94168A2
167,4,4603,PC485BE5B
168,4,4180,PC250A90D
169,2,4592,PC627AA14
170,4,4008,PC5680D80
171,2,4083,PC90346C9
172,2,4573,PC4D8469D
173,2,4642,PC17D596F
174,2,4693,PCB4CDDA5
175,4,4787,PC1BDA119
176,2,4989,PC7D7AE48
177,4,4803,PC2BBEEDC
178,2,4848,PCF0FC9B2
179,2,4377,PC4AC8EAD
180,2,4947,PCE4A44BE
181,2,4439,PC845CEA6
182,2,4346,PCA35B156
183,2,4718,PC81E83B9
184,4,4049,PC4779D38
185,2,4579,PC926F0A9
186,2,4985,PCCA71D2C
187,4,4356,PCF1979AE
188,2,4631,PCFFF6463
189,2,4898,PC0AE9E1B
190,2,4022,PCF135377
191,2,4586,PC4A40D50
192,2,4733,PC797AEBF
193,4,4764,PCF6B0D12
194,2,4466,PC6E93A05
195,2,4158,PCAA68777
196,4,4111,PC07F012A
197,4,4591,PCC9875AC
198,2,4015,PC524833E
199,2,4420,PCFDB2950
200,4,4924,PCE3427C5
201,2,4501,PC5D41947
202,2,4026,PC2CE9851
203,2,4280,PC03A5F23
204,2,4953,PC1E2B07E
205,2,4923,PC8A7A22A
206,2,4283,PC953B572
207,4,4899,PC4967767
208,4,4560,PC5030572
209,2,4037,PC0A50259
210,2,4610,PCA4D3E9B
211,2,4775,PCA50FB36
212,4,4414,PC40BD0F3
213,2,4915,PC86B0D7B
214,2,4618,PC8F4AF85
215,2,4909,PCDED6F20
216,2,4497,PC76FDDEA
217,2,4401,PC0606D6A
218,2,4284,PC0DB49FD
219,2,4235,PCFB11406
220,4,4482,PCB6A16D7
221,2,4981,PC6B14C5D
222,2,4175,PC08EA270
223,2,4188,PCDB12C82
224,2,4015,PC524833E
225,4,4230,PC19CE0DB
226,2,4686,PCD6E5E77
227,2,4123,PCDE850D8
228,4,4283,PC953B572
229,2,4016,PCCD7399B
230,4,4504,PC461DCD3
231,2,4377,PC4AC8EAD
232,4,4971,PC0BD172F
233,2,4031,PC0214185
234,4,4965,PCA0BAE0F
235,2,4350,PCEDD7E85
236,2,4232,PC4156AD5
237,2,4592,PC627AA14
238,2,4760,PC161AC8D
239,4,5002,PC585BD38
240,2,4974,PCDEB8E32
241,2,4361,PC2E0C888
242,2,4946,PCCF18BAF
243,2,4314,PC7E9E8F3
244,2,4784,PCDB42B34
245,4,4611,PC2EBEAB9
246,2,4515,PC6A1B37B
247,2,4531,PC857F4A0
248,2,4070,PCEECA8B2
249,2,4891,PC57036DA
250,2,4325,PC8FC83B3
251,2,4672,PC03AE86F
252,2,4147,PC4D2C5A7
253,4,4049,PC4779D38
